href,area,price
https://shopeefood.vn/ho-chi-minh/nang-cua-nguyen-van-thu,Quận 1,95000.0
https://shopeefood.vn/ho-chi-minh/canopee-com-mi-tron-salad-nguyen-trung-ngan,Quận 1,65333.0
https://shopeefood.vn/ho-chi-minh/am-thuc-nha-bu-banh-bot-loc-hue,Quận 1,52500.0
https://shopeefood.vn/ho-chi-minh/at-suu-bun-dau-mam-tom-dinh-tien-hoang,Quận 1,57500.0
https://shopeefood.vn/ho-chi-minh/hem-fast-food-mon-han-quoc-nguyen-cu-trinh,Quận 1,106666.0
https://shopeefood.vn/ho-chi-minh/con-oc-quan-am-thuc-viet,Quận 1,95666.0
https://shopeefood.vn/ho-chi-minh/bun-bo-hue-nam-giao-de-tham,Quận 1,88750.0
https://shopeefood.vn/ho-chi-minh/ga-met-quan,Quận 1,107705.0
https://shopeefood.vn/ho-chi-minh/xoi-ga-tan-dinh-310-hai-ba-trung,Quận 1,48157.0
https://shopeefood.vn/ho-chi-minh/hebi-poke,Quận 1,101785.0
https://shopeefood.vn/ho-chi-minh/got-bun-street-food-market,Quận 1,133125.0
https://shopeefood.vn/ho-chi-minh/wowbox-salad-bui-vien,Quận 1,69375.0
https://shopeefood.vn/ho-chi-minh/bun-dau-kim-lien,Quận 1,62117.0
https://shopeefood.vn/ho-chi-minh/mien-cua-94-chinh-goc,Quận 1,415263.0
https://shopeefood.vn/ho-chi-minh/goi-kho-bo-nguyen-van-thu,Quận 1,20800.0
https://shopeefood.vn/ho-chi-minh/lang-cua-dong,Quận 1,57277.0
https://shopeefood.vn/ho-chi-minh/hoa-bo-la-lot-mo-chai,Quận 1,30000.0
https://shopeefood.vn/ho-chi-minh/com-ga-hong-xuong-nguyen-trai,Quận 1,195312.0
https://shopeefood.vn/ho-chi-minh/sup-cua-cho-tan-dinh,Quận 1,43235.0
https://shopeefood.vn/ho-chi-minh/pasta-farm-quan-mi-y,Quận 1,71000.0
https://shopeefood.vn/ho-chi-minh/nem-nuong-oanh-vy,Quận 1,45000.0
https://shopeefood.vn/ho-chi-minh/long-geylang-chao-ech-geylang-dimsum-nguyen-cong-tru,Quận 1,74181.0
https://shopeefood.vn/ho-chi-minh/chao-long-chao-muc-nguyen-thi-minh-khai,Quận 1,52166.0
https://shopeefood.vn/ho-chi-minh/bun-mam-nem-co-no-tran-hung-dao,Quận 1,59117.0
https://shopeefood.vn/ho-chi-minh/com-tam-nguyen-van-cu,Quận 1,65714.0
https://shopeefood.vn/ho-chi-minh/luong-son-quan-bo-tung-xeo,Quận 1,136791.0
https://shopeefood.vn/ho-chi-minh/nam-loi-quan,Quận 1,127500.0
https://shopeefood.vn/ho-chi-minh/bun-bo-hue-dong-ba-since-1998,Quận 1,60235.0
https://shopeefood.vn/ho-chi-minh/bun-bo-hue-xua-le-thi-rieng,Quận 1,47352.0
https://shopeefood.vn/ho-chi-minh/lau-bo-quang-khai-ho-hao-hon,Quận 1,133823.0
https://shopeefood.vn/ho-chi-minh/bula-bento-com-trua-an-toi-nguyen-thi-minh-khai,Quận 1,81235.0
https://shopeefood.vn/ho-chi-minh/mien-cua-94,Quận 1,207500.0
https://shopeefood.vn/ho-chi-minh/xien-khe-lau-nuong,Quận 1,139526.0
https://shopeefood.vn/ho-chi-minh/bo-kho-co-mai-since-1984-nguyen-thi-minh-khai,Quận 1,42625.0
https://shopeefood.vn/ho-chi-minh/com-tam-kieu-giang,Quận 1,64625.0
https://shopeefood.vn/ho-chi-minh/com-tam-cali-12-nguyen-hue,Quận 1,95570.0
https://shopeefood.vn/ho-chi-minh/oc-chi-em-2,Quận 1,126333.0
https://shopeefood.vn/ho-chi-minh/mekong-kitchen-vietnamese-cuisine,Quận 1,275893.0
https://shopeefood.vn/ho-chi-minh/bun-cha-ha-noi-26,Quận 1,53857.0
https://shopeefood.vn/ho-chi-minh/trai-cay-dia-nguyen-canh-chan,Quận 1,22277.0
https://shopeefood.vn/ho-chi-minh/mi-kho-quang-chau,Quận 1,61176.0
https://shopeefood.vn/ho-chi-minh/ann-quan,Quận 1,71875.0
https://shopeefood.vn/ho-chi-minh/rau-kinh-gioi-am-thuc-bac,Quận 1,175058.0
https://shopeefood.vn/ho-chi-minh/nga-hang-ngan-bo-ne,Quận 1,33368.0
https://shopeefood.vn/ho-chi-minh/chi-cu-tran-dinh-xu,Quận 1,45000.0
https://shopeefood.vn/ho-chi-minh/quan-bo-nhat-nam-nguyen-trai,Quận 1,106722.0
https://shopeefood.vn/ho-chi-minh/mi-quang-pho-thi-dinh-tien-hoang,Quận 1,49611.0
https://shopeefood.vn/ho-chi-minh/quan-oc-po,Quận 1,67647.0
https://shopeefood.vn/ho-chi-minh/mi-suon-bo-tran-hung-dao,Quận 1,64687.0
https://shopeefood.vn/ho-chi-minh/oc-so-9,Quận 1,85000.0
https://shopeefood.vn/ho-chi-minh/hu-tieu-muc-ong-gia-ton-that-thiep,Quận 1,48444.0
https://shopeefood.vn/ho-chi-minh/gio-cha-minh-chau,Quận 1,132388.0
https://shopeefood.vn/ho-chi-minh/pho-hien-tran-quang-khai,Quận 1,54352.0
